Question_ID,Answer_ID,Task
7209,1,Phi-2
7210,4,Phi-2
7222,5,Phi-2
7242,3,Phi-2
7252,3,Phi-2
7255,4,Phi-2
7261,2,Phi-2
7267,4,Phi-2
7274,3,Phi-2
7278,3,Phi-2
7288,5,Phi-2
7296,3,Phi-2
7307,3,Phi-2
7310,3,Phi-2
7311,3,Phi-2
7315,2,Phi-2
7330,3,Phi-2
7333,4,Phi-2
7335,1,Phi-2
7339,1,Phi-2
7340,4,Phi-2
7346,1,Phi-2
7365,3,Phi-2
7370,4,Phi-2
7378,1,Phi-2
7383,2,Phi-2
7385,4,Phi-2
7392,5,Phi-2
7397,3,Phi-2
7399,2,Phi-2
7401,4,Phi-2
7408,2,Phi-2
7409,1,Phi-2
7411,5,Phi-2
7415,1,Phi-2
7420,3,Phi-2
7428,1,Phi-2
7429,1,Phi-2
7435,3,Phi-2
7439,2,Phi-2
7441,3,Phi-2
7445,3,Phi-2
7446,3,Phi-2
7453,1,Phi-2
7463,3,Phi-2
7464,1,Phi-2
7470,3,Phi-2
7471,3,Phi-2
7476,5,Phi-2
7477,5,Phi-2
7478,3,Phi-2
7479,5,Phi-2
7482,3,Phi-2
7487,4,Phi-2
7488,1,Phi-2
7493,3,Phi-2
7497,5,Phi-2
7503,1,Phi-2
7506,1,Phi-2
7509,5,Phi-2
7511,4,Phi-2
7515,4,Phi-2
7517,3,Phi-2
7518,1,Phi-2
7520,5,Phi-2
7533,5,Phi-2
7534,4,Phi-2
7542,3,Phi-2
7546,4,Phi-2
7552,2,Phi-2
7561,1,Phi-2
7568,5,Phi-2
7576,4,Phi-2
7577,3,Phi-2
7587,5,Phi-2
7595,3,Phi-2
7601,4,Phi-2
7605,1,Phi-2
7607,3,Phi-2
7608,5,Phi-2
7614,2,Phi-2
7622,5,Phi-2
7629,4,Phi-2
7635,2,Phi-2
7636,3,Phi-2
7640,2,Phi-2
7650,1,Phi-2
7654,5,Phi-2
7657,5,Phi-2
7658,1,Phi-2
7662,3,Phi-2
7667,1,Phi-2
7677,3,Phi-2
7681,4,Phi-2
7691,5,Phi-2
7699,1,Phi-2
7703,2,Phi-2
7709,1,Phi-2
7711,3,Phi-2
7721,5,Phi-2
7727,3,Phi-2
7739,1,Phi-2
7740,1,Phi-2
7742,3,Phi-2
7753,3,Phi-2
7756,3,Phi-2
7762,3,Phi-2
7769,3,Phi-2
7773,4,Phi-2
7775,1,Phi-2
7782,3,Phi-2
7785,4,Phi-2
7787,4,Phi-2
7788,1,Phi-2
7803,2,Phi-2
7804,2,Phi-2
7810,3,Phi-2
7827,3,Phi-2
7828,3,Phi-2
7830,4,Phi-2
7837,3,Phi-2
7839,4,Phi-2
7853,1,Phi-2
7861,2,Phi-2
7862,2,Phi-2
7866,4,Phi-2
7868,4,Phi-2
7873,3,Phi-2
7875,4,Phi-2
7877,5,Phi-2
7878,4,Phi-2
7881,4,Phi-2
7884,5,Phi-2
7905,3,Phi-2
7913,4,Phi-2
7923,3,Phi-2
7926,2,Phi-2
7929,5,Phi-2
7935,4,Phi-2
7944,3,Phi-2
7945,4,Phi-2
7952,3,Phi-2
7956,5,Phi-2
7960,4,Phi-2
7962,3,Phi-2
7974,2,Phi-2
7975,1,Phi-2
7980,5,Phi-2
7984,4,Phi-2
7985,3,Phi-2
7998,4,Phi-2
7999,4,Phi-2
8000,3,Phi-2
8003,3,Phi-2
8027,5,Phi-2
8028,2,Phi-2
8030,2,Phi-2
8036,4,Phi-2
8054,4,Phi-2
8063,1,Phi-2
8064,3,Phi-2
8071,5,Phi-2
8074,2,Phi-2
8077,3,Phi-2
8082,3,Phi-2
8085,4,Phi-2
8086,5,Phi-2
8096,1,Phi-2
8101,5,Phi-2
8108,3,Phi-2
8110,3,Phi-2
8111,2,Phi-2
8114,5,Phi-2
8117,3,Phi-2
8123,1,Phi-2
8136,5,Phi-2
